Mode,eigenvalue lambda = omega^2,omega [rad/s],frequency [Hz],period [s],Normalization,Sign convention,Roof phi
1,5.391011e+01,7.342351e+00,1.168571e+00,8.557458e-01,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
2,5.196731e+02,2.279634e+01,3.628150e+00,2.756225e-01,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
3,1.601458e+03,4.001822e+01,6.369098e+00,1.570081e-01,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
4,3.212922e+03,5.668265e+01,9.021323e+00,1.108485e-01,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
