Mode,Mn,Lnh,Gamma = Lnh/Mn,Ln_theta,h_star = Ln_theta/Lnh,M_eff / M_n*,M_eff ratio,Cumulative M_eff ratio
1,4.532947e+01,6.441353e+01,1.421008e+00,4.162043e+02,6.461442e+00,9.153211e+01,8.136188e-01,8.136188e-01
2,6.184764e+01,-3.169519e+01,-5.124721e-01,-1.332608e+01,4.204449e-01,1.624290e+01,1.443813e-01,9.580001e-01
3,5.648021e+02,5.165930e+01,9.146442e-02,1.903825e+01,3.685349e-01,4.724988e+00,4.199989e-02,1.000000e+00
