Mode,Floor / DOF,Height h [m],phi,mass,sn = Gamma*m*phi,u_coeff = Gamma*phi/omega^2,Vb_coeff = sum(sn),Mb_coeff = sum(sn*h)
1,1,3.000000e+00,3.018460e-01,5.000000e+01,2.144627e+01,2.543165e-02,9.153211e+01,5.914294e+02
1,2,6.000000e+00,6.485660e-01,3.750000e+01,3.456065e+01,5.464410e-02,9.153211e+01,5.914294e+02
1,3,9.000000e+00,1.000000e+00,2.500000e+01,3.552519e+01,8.425372e-02,9.153211e+01,5.914294e+02
2,1,3.000000e+00,-6.789670e-01,5.000000e+01,1.739758e+01,4.512482e-03,1.624290e+01,6.829244e+00
2,2,6.000000e+00,-6.065823e-01,3.750000e+01,1.165712e+01,4.031406e-03,1.624290e+01,6.829244e+00
2,3,9.000000e+00,1.000000e+00,2.500000e+01,-1.281180e+01,-6.646099e-03,1.624290e+01,6.829244e+00
3,1,3.000000e+00,2.439450e+00,5.000000e+01,1.115615e+01,1.312433e-03,4.724988e+00,1.741323e+00
3,2,6.000000e+00,-2.541686e+00,3.750000e+01,-8.717768e+00,-1.367436e-03,4.724988e+00,1.741323e+00
3,3,9.000000e+00,1.000000e+00,2.500000e+01,2.286611e+00,5.380035e-04,4.724988e+00,1.741323e+00
