Mode,Mn,Lnh,Gamma = Lnh/Mn,Ln_theta,h_star = Ln_theta/Lnh,M_eff / M_n*,M_eff ratio,Cumulative M_eff ratio
1,9.107487e+00,1.241043e+01,1.362662e+00,2.986564e+01,2.406496e+00,1.691122e+01,7.516098e-01,7.516098e-01
2,4.249251e+01,-1.541043e+01,-3.626622e-01,-1.186564e+01,7.699748e-01,5.588779e+00,2.483902e-01,1.000000e+00
