Mode,eigenvalue lambda = omega^2,omega [rad/s],frequency [Hz],period [s],Normalization,Sign convention,Roof phi
1,1.686581e+01,4.106801e+00,6.536177e-01,1.529946e+00,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
2,7.710870e+01,8.781156e+00,1.397564e+00,7.155305e-01,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
3,1.700071e+02,1.303868e+01,2.075170e+00,4.818882e-01,"roof-normalized, roof ux positive",roof ux positive,1.000000e+00
