Mode,Floor / DOF,Height h [m],phi,mass,sn = Gamma*m*phi,u_coeff = Gamma*phi/omega^2,Vb_coeff = sum(sn),Mb_coeff = sum(sn*h)
1,1,1.500000e+00,3.273618e-01,1.500000e+01,6.691254e+00,4.359533e-03,1.691122e+01,4.069678e+01
1,2,3.000000e+00,1.000000e+00,7.500000e+00,1.021997e+01,1.331717e-02,1.691122e+01,4.069678e+01
2,1,1.500000e+00,-1.527362e+00,1.500000e+01,8.308746e+00,2.040185e-04,5.588779e+00,4.303220e+00
2,2,3.000000e+00,1.000000e+00,7.500000e+00,-2.719966e+00,-1.335757e-04,5.588779e+00,4.303220e+00
