Mode,Mn,Lnh,Gamma = Lnh/Mn,Ln_theta,h_star = Ln_theta/Lnh,M_eff / M_n*,M_eff ratio,Cumulative M_eff ratio
1,2.541876e+05,3.257709e+05,1.281616e+00,3.539134e+06,1.086387e+01,4.175132e+05,8.350264e-01,8.350264e-01
2,3.257849e+05,-1.330896e+05,-4.085198e-01,1.982997e+05,-1.489972e+00,5.436973e+04,1.087395e-01,9.437659e-01
3,5.196674e+05,9.752063e+04,1.876597e-01,2.263082e+05,2.320619e+00,1.830069e+04,3.660139e-02,9.803672e-01
4,1.159402e+06,-9.467655e+04,-8.165979e-02,3.062931e+03,-3.235153e-02,7.731267e+03,1.546253e-02,9.958298e-01
