Mode,Mn,Lnh,Gamma = Lnh/Mn,Ln_theta,h_star = Ln_theta/Lnh,M_eff / M_n*,M_eff ratio,Cumulative M_eff ratio
1,4.765000e+05,6.223937e+05,1.306178e+00,1.281200e+07,2.058504e+01,8.129568e+05,8.129568e-01,8.129568e-01
2,5.248250e+05,-2.381113e+05,-4.536965e-01,8.499113e+05,-3.569387e+00,1.080303e+05,1.080303e-01,9.209870e-01
3,6.002241e+05,1.452864e+05,2.420536e-01,5.728429e+05,3.942852e+00,3.516711e+04,3.516711e-02,9.561541e-01
4,7.110354e+05,-1.133094e+05,-1.593584e-01,1.198995e+05,-1.058160e+00,1.805680e+04,1.805680e-02,9.742109e-01
