Mode,Floor / DOF,Height h [m],phi,mass,sn = Gamma*m*phi,u_coeff = Gamma*phi/omega^2,Vb_coeff = sum(sn),Mb_coeff = sum(sn*h)
1,1,3.000000e+00,1.992952e-01,1.000000e+05,2.554200e+04,4.737886e-03,4.175132e+05,4.535811e+06
1,2,6.000000e+00,4.655752e-01,1.000000e+05,5.966886e+04,1.106821e-02,4.175132e+05,4.535811e+06
1,3,9.000000e+00,7.046864e-01,1.000000e+05,9.031374e+04,1.675265e-02,4.175132e+05,4.535811e+06
1,4,1.200000e+01,8.881520e-01,1.000000e+05,1.138270e+05,2.111422e-02,4.175132e+05,4.535811e+06
1,5,1.500000e+01,1.000000e+00,1.000000e+05,1.281616e+05,2.377320e-02,4.175132e+05,4.535811e+06
2,1,3.000000e+00,-6.798286e-01,1.000000e+05,2.777235e+04,5.344195e-04,5.436973e+04,-8.100936e+04
2,2,6.000000e+00,-1.106310e+00,1.000000e+05,4.519497e+04,8.696807e-04,5.436973e+04,-8.100936e+04
2,3,9.000000e+00,-7.324760e-01,1.000000e+05,2.992310e+04,5.758061e-04,5.436973e+04,-8.100936e+04
2,4,1.200000e+01,1.877191e-01,1.000000e+05,-7.668696e+03,-1.475677e-04,5.436973e+04,-8.100936e+04
2,5,1.500000e+01,1.000000e+00,1.000000e+05,-4.085198e+04,-7.861092e-04,5.436973e+04,-8.100936e+04
3,1,3.000000e+00,1.287894e+00,1.000000e+05,2.416857e+04,1.509161e-04,1.830069e+04,4.246893e+04
3,2,6.000000e+00,6.995002e-01,1.000000e+05,1.312680e+04,8.196781e-05,1.830069e+04,4.246893e+04
3,3,9.000000e+00,-1.116217e+00,1.000000e+05,-2.094689e+04,-1.307989e-04,1.830069e+04,4.246893e+04
3,4,1.200000e+01,-8.959708e-01,1.000000e+05,-1.681376e+04,-1.049903e-04,1.830069e+04,4.246893e+04
3,5,1.500000e+01,1.000000e+00,1.000000e+05,1.876597e+04,1.171805e-04,1.830069e+04,4.246893e+04
4,1,3.000000e+00,-2.042030e+00,1.000000e+05,1.667517e+04,5.190033e-05,7.731267e+03,-2.501183e+02
4,2,6.000000e+00,1.202591e+00,1.000000e+05,-9.820331e+03,-3.056510e-05,7.731267e+03,-2.501183e+02
4,3,9.000000e+00,9.236363e-01,1.000000e+05,-7.542394e+03,-2.347518e-05,7.731267e+03,-2.501183e+02
4,4,1.200000e+01,-2.030963e+00,1.000000e+05,1.658480e+04,5.161904e-05,7.731267e+03,-2.501183e+02
4,5,1.500000e+01,1.000000e+00,1.000000e+05,-8.165979e+03,-2.541605e-05,7.731267e+03,-2.501183e+02
